region,species,category,sex,age_group,breed,location,number_examined,number_positive,%_positive,diagnostic_method,or,95%_ci,p-value,study_source,prevalence_percent
Borno,Mixed,Breed,,,Sahel,,172.0,23.0,13.4%,ELISA,0.736,0.264–2.050,0.742,Borno Study,13.372093023255813
Borno,Mixed,Breed,,,Red Sokoto,,163.0,18.0,11.0%,ELISA,,0.321–2.607,,Borno Study,11.042944785276074
Borno,Mixed,Breed,,,WAD,,49.0,5.0,10.2%,ELISA,1,,,Borno Study,10.204081632653061
Taraba,Mixed,Sex,Male,,,,50.0,3.0,6.0%,ELISA,,,0.2,Taraba Study,6.0
Taraba,Mixed,Sex,Female,,,,50.0,7.0,14.0%,ELISA,,,,Taraba Study,14.000000000000002
Taraba,Mixed,Sex,Male,,,,50.0,4.0,8.0%,ELISA,,,0.73,Taraba Study,8.0
Taraba,Mixed,Sex,Female,,,,50.0,5.0,10.0%,ELISA,,,,Taraba Study,10.0
Taraba,Mixed,Sex,Male,,,,50.0,4.0,8.0%,ELISA,,,0.16,Taraba Study,8.0
Taraba,Mixed,Sex,Female,,,,50.0,9.0,18.0%,ELISA,,,,Taraba Study,18.0
Taraba,Mixed,Sex,Total,,,,300.0,32.0,10.7%,ELISA,,,,Taraba Study,10.666666666666668
Taraba,Mixed,Age,,> 2,,,50.0,8.0,16.0%,ELISA,,,0.05,Taraba Study,16.0
Taraba,Mixed,Age,,≤ 2,,,50.0,2.0,4.0%,ELISA,,,,Taraba Study,4.0
Taraba,Mixed,Age,,> 2,,,50.0,7.0,14.0%,ELISA,,,0.09,Taraba Study,14.000000000000002
Taraba,Mixed,Age,,≤ 2,,,50.0,2.0,4.0%,ELISA,,,,Taraba Study,4.0
Taraba,Mixed,Age,,> 3,,,50.0,8.0,16.0%,ELISA,,,0.4,Taraba Study,16.0
Taraba,Mixed,Age,,≤ 3,,,50.0,5.0,10.0%,ELISA,,,,Taraba Study,10.0
Taraba,Mixed,Age,,Total,,,300.0,32.0,10.7%,ELISA,,,,Taraba Study,10.666666666666668
Yobe,Sheep,Sex,Male,,,,105.0,10.0,9.5%,ELISA,0.745,0.358–1.550,0.43,Yobe Study,9.523809523809524
Yobe,Sheep,Sex,Female,,,,315.0,39.0,12.4%,ELISA,1*,,,Yobe Study,12.380952380952381
Yobe,Sheep,Sex,Total,,,,420.0,49.0,11.7%,ELISA,,,,Yobe Study,11.666666666666666
Yobe,Sheep,Age,,≤ 2 years,,,82.0,8.0,9.8%,ELISA,0.783,0.352–1.741,0.548,Yobe Study,9.75609756097561
Yobe,Sheep,Age,,> 2 years,,,338.0,41.0,12.1%,ELISA,1*,,,Yobe Study,12.1301775147929
Yobe,Sheep,Age,,Total,,,420.0,49.0,11.7%,ELISA,,,,Yobe Study,11.666666666666666
Yobe,Sheep,Breed,,,Balami,,160.0,19.0,11.7%,ELISA,0.813,0.340–1.947,0.85,Yobe Study,11.875
Yobe,Sheep,Breed,,,Yankasa,,179.0,22.0,12.3%,ELISA,0.782,0.332–1.840,,Yobe Study,12.290502793296088
Yobe,Sheep,Breed,,,Uda,,81.0,8.0,9.9%,ELISA,1*,,,Yobe Study,9.876543209876543
Yobe,Sheep,Breed,,,Total,,420.0,49.0,11.7%,ELISA,,,,Yobe Study,11.666666666666666
Yobe,Sheep,Location,,,,Damaturu,140.0,19.0,13.6%,ELISA,0.822,0.404–1.572,0.645,Yobe Study,13.571428571428571
Yobe,Sheep,Location,,,,Gashua,140.0,14.0,10.0%,ELISA,1.161,0.544–2.480,,Yobe Study,10.0
Yobe,Sheep,Location,,,,Potiskum,140.0,16.0,11.4%,ELISA,1*,,,Yobe Study,11.428571428571429
Yobe,Sheep,Location,,,,Total,420.0,49.0,11.7%,ELISA,,,,Yobe Study,11.666666666666666
